Beds,Baths,Basement,Parking Spaces,Garage Spaces,Carport Spaces,Lot Size SqFt,Price Sold,Kitchens,Fireplaces Total,Year Built (Est),SqFt Fin Total,SqFt Unfinished,Lot Size Acres,Sub area,Filename
3,2,1,2,1,0,7952,950000,2,1,1957,1704,725,0,39,21187849
4,2,0,4,0,2,6544,960000,2,1,1962,2445,55,0,27,23904102
5,3,1,4,1,0,6552,1425000,2,1,2001,2721,0,0,15,21243257
5,5,1,4,2,0,10297,1977500,2,2,2006,3635,455,0,5,23657161
6,2,1,0,0,0,6609,1099000,2,1,1958,2359,0,0,18,22849956
4,3,1,4,0,0,6000,1205000,2,1,1932,3079,211,0,16,22743771
3,2,1,3,0,0,6456,849500,2,0,1932,1730,0,0,10,21349815
5,3,0,4,0,1,11326,990000,2,3,1958,2931,466,0,11,23966763
4,3,1,3,0,1,5998,1057000,2,2,1981,2558,0,0,16,21036843
5,2,1,2,1,0,6195,1049000,2,2,1976,2003,179,0,17,24442275
3,3,1,4,0,0,6600,990000,2,1,1949,1865,52,0,9,21339331
4,4,1,6,3,0,21210,1868000,2,2,1979,3401,554,0,7,23288219
5,2,1,3,0,1,6540,1160000,2,1,1964,2529,665,0,16,21204213
5,3,1,3,0,0,7882,795000,2,1,1958,2252,127,0,27,21329032
3,2,1,4,0,0,9032,1105000,2,1,1954,1848,0,0,32,22236417
5,2,1,5,1,0,6656,1013000,2,1,1973,1778,900,0,27,20922377
5,3,1,5,1,0,8479,1200000,2,2,1961,2856,537,0,10,24167102
4,2,1,2,2,0,98881,1520000,2,1,1966,2127,0,2,40,22357971
6,3,1,6,2,1,19234,1500000,2,2,1976,3132,430,0,8,21335619
3,2,1,5,0,1,5968,1150000,2,1,1968,2288,0,0,12,21053549
4,2,1,4,1,0,5550,1030000,2,1,1952,2064,0,0,9,25602538
5,4,1,4,0,2,12080,1850000,2,3,1952,3444,669,0,1,24254213
5,2,1,4,0,1,6900,1100000,2,1,1958,2079,175,0,14,21199647
3,3,1,2,0,2,6000,1268000,2,1,1927,2008,651,0,0,21673229
4,3,1,3,1,0,6600,1245000,2,2,1953,2526,396,0,18,20927116
4,2,1,8,2,0,8775,1099000,2,1,1957,1965,77,0,27,22509854
4,3,1,7,4,0,8044,1200000,2,2,1976,2276,0,0,33,21045680
7,4,1,5,0,1,8737,1191500,2,2,1963,2662,0,0,15,21619863
4,2,1,2,0,0,7200,1090000,2,1,1954,1767,0,0,19,22836554
3,2,1,4,1,0,6032,1175000,2,1,1947,2266,63,0,28,21743129
6,3,1,4,2,0,10000,1250000,2,2,1995,3576,0,0,11,21167560
5,3,1,2,0,0,8712,1125000,2,1,1915,2702,593,0,32,21609371
6,3,1,3,0,0,6660,1160000,2,1,1958,2806,181,0,10,21307547
5,2,1,4,0,0,15246,1056789,2,2,1950,2045,253,0,12,21653970
5,3,1,4,0,0,10722,1300000,2,0,1920,3120,468,0,22,24008032
3,3,1,3,0,1,9713,1375000,2,1,1953,2532,0,0,2,21326525
5,4,1,6,2,0,9600,2000000,2,2,1933,2826,1255,0,9,22416870
4,3,1,5,1,0,6044,1050000,2,1,1958,2365,245,0,27,22761740
3,3,0,2,1,0,6100,1239000,1,2,1986,2247,0,0,12,25867856
2,2,1,4,1,0,9425,950000,2,1,1958,2022,110,0,32,22042574
4,4,1,2,2,0,4983,1400000,2,1,2010,2553,464,0,12,21068067
3,2,1,3,0,0,7006,858000,2,1,1948,1642,473,0,37,22160866
6,4,1,5,2,0,7451,999999,2,1,1994,2771,683,0,13,23770796
8,5,1,4,2,0,6673,1500000,3,1,2005,3475,572,0,12,26016645
6,4,1,6,2,0,14810,1390000,2,2,1988,3513,1557,0,7,20842919
6,3,1,4,0,0,12764,1170000,2,1,1959,2045,218,0,14,24109650
6,3,0,3,0,0,7202,1260000,2,1,1986,2458,0,0,12,24648644
6,4,1,2,2,0,6000,1300000,2,1,1994,3215,400,0,27,23642744
6,2,1,3,0,0,11625,1412500,2,1,1954,2449,0,0,5,21987924
5,2,1,4,0,0,5624,920000,2,2,1966,2349,723,0,26,21123906
5,2,1,2,1,0,6000,1425000,2,1,1978,2059,0,0,12,22239779
4,3,1,5,0,1,6000,1400013,2,1,1981,2043,935,0,9,22478688
6,4,1,2,0,0,6000,1210000,2,2,1975,3110,0,0,16,21373041
4,4,1,4,1,0,10348,1000000,2,1,1949,2292,584,0,16,23947841
3,2,1,1,0,1,7622,879000,2,1,1973,1754,421,0,38,21144833
5,3,1,1,0,0,8811,1240000,2,1,1967,2186,233,0,17,24308033
5,3,1,7,1,0,8197,1200000,2,1,1954,2329,408,0,38,20810927
5,2,1,5,1,0,7200,1135000,2,1,1964,2062,68,0,14,21657680
4,2,1,2,0,0,7236,795000,2,0,1965,1694,0,0,17,20910637
6,4,1,2,2,0,9148,1950000,2,2,1998,4301,861,0,18,22727913
3,2,1,2,1,0,6231,800000,1,1,1967,1784,1784,0,22,26087996
5,3,1,4,2,0,10454,1350000,2,3,1989,3547,233,0,7,21703231
6,2,1,2,0,1,9425,975000,2,1,1961,2120,0,0,13,21628123
3,2,1,2,1,0,6000,890000,2,1,1963,1752,274,0,10,21160910
2,3,1,2,0,2,18350,1650000,2,2,1920,2859,394,0,23,21988556
4,5,1,3,2,0,6041,1735000,2,1,2023,2955,400,0,13,24614551
5,5,1,4,0,0,15890,1300000,2,2,1966,2930,0,0,24,24257422
3,2,1,2,0,0,7412,925000,2,1,1972,2235,83,0,22,20919297
5,4,1,4,1,0,12821,995000,2,1,1957,2934,768,0,39,21556166
5,2,1,3,2,0,8190,1325000,2,1,1961,2600,462,0,9,22544776
3,2,1,3,0,0,7878,1175000,2,2,1948,2518,0,0,16,22217274
5,3,1,3,0,1,6686,1035000,2,1,1963,2116,0,0,10,22885031
5,2,0,3,0,1,7444,975000,2,1,1967,2014,0,0,17,24049573
5,3,1,4,0,1,5191,1050000,2,1,1973,2333,0,0,18,23158851
6,4,1,4,2,0,11302,2210000,2,1,1959,3907,0,0,11,21541411
4,2,0,4,1,0,8400,860000,2,1,1956,1723,0,0,14,21178380
6,3,1,4,0,0,20233,1675000,2,2,1955,2947,0,0,28,22464080
5,4,1,2,1,0,6892,2050000,2,2,1973,3012,0,0,12,22474998
4,3,1,2,0,1,8698,930000,2,1,1923,2367,237,0,32,22179749
8,5,1,1,1,0,7260,1168000,2,1,1972,2703,1579,0,15,21440252
3,2,1,7,1,0,101059,1275000,2,1,1920,2298,77,2,30,21507426
3,3,0,10,2,0,54450,1510000,2,1,2006,2788,108,1,40,22389986
4,2,1,3,0,0,5550,920000,2,2,1953,2022,0,0,18,23384176
6,4,1,4,0,0,8625,1630000,2,2,1965,2692,202,0,18,22659611
5,3,0,5,2,0,5993,920000,2,1,1993,2367,747,0,32,20935519
5,4,1,2,1,0,7457,1180000,2,2,1989,3174,508,0,33,21093194
4,3,1,6,2,0,7158,1080000,2,1,1992,2201,1468,0,38,23959632
4,2,1,7,3,0,8630,987000,2,1,1983,2589,0,0,28,21436769
4,4,0,4,2,0,8407,1235000,2,2,2006,2703,434,0,38,21066726
4,4,1,4,2,0,9138,1649000,2,1,2016,3451,595,0,38,21184239
4,3,1,4,0,2,10154,1465000,2,2,1972,2634,0,0,12,22550031
3,3,1,3,0,0,5600,935000,2,1,1937,1303,448,0,26,22030678
5,2,1,2,0,0,7975,999999,2,1,1947,2336,0,0,39,23244375
6,3,1,2,2,0,6684,1360000,2,2,2000,3142,458,0,27,23480806
4,3,1,4,0,1,7888,1135000,2,2,1965,2212,406,0,10,24034891
5,2,0,3,0,0,6620,755000,2,1,1940,2219,0,0,39,23570048
4,3,1,3,1,0,14512,1199900,2,0,1964,2028,353,0,33,20832059
5,2,1,4,1,0,5580,990000,2,1,1974,2209,35,0,27,24662760
4,2,1,1,1,0,5750,1780000,2,1,1947,2736,895,0,0,24447196
5,3,1,2,0,1,6780,876000,2,2,1975,1937,0,0,32,23231715
5,4,1,5,0,0,7133,1125000,2,2,1974,2317,84,0,16,21577873
4,3,1,4,1,0,7700,751000,2,1,1964,1666,228,0,14,20699195
6,3,1,4,0,0,6148,920000,2,1,1912,2800,73,0,16,21817029
3,3,0,3,0,0,7435,1155000,2,1,1982,2300,113,0,14,23272286
2,2,1,3,0,0,6000,939000,2,1,1959,1748,334,0,9,21257155
4,2,1,5,1,0,9000,1051000,2,0,1955,1996,371,0,10,20957424
4,4,1,4,2,0,12680,1805000,2,0,1952,3048,474,0,2,22516326
4,3,1,4,1,0,6900,1199900,2,1,1911,2145,2145,0,28,23842021
4,3,1,5,2,0,111514,1665000,2,1,1964,3152,0,2,11,20777695
4,3,1,3,0,1,6094,1033000,2,1,1975,1929,0,0,10,21286048
5,4,0,2,2,0,8074,1988000,2,1,2014,3164,533,0,11,22864440
5,3,1,8,2,0,7405,1153000,2,1,1993,2406,806,0,16,20797773
4,2,1,4,0,0,6650,1250000,2,1,1942,2068,0,0,28,22346711
3,2,1,2,0,0,7200,961200,2,0,1949,1883,0,0,16,21821788
6,2,1,4,1,0,10955,1575000,2,2,1961,3612,332,0,27,22683649
5,3,1,4,2,0,7153,1130000,2,3,1986,2588,402,0,14,22961170
4,4,0,4,0,2,216493,1915000,1,1,1985,2686,1209,4,35,25982779
6,3,1,2,0,0,7154,925000,2,0,1940,2175,170,0,28,22720338
3,3,0,4,2,0,7850,1240000,2,0,2010,1999,0,0,28,22353011
6,4,1,4,0,0,10080,1880000,2,0,1959,3222,0,0,12,24610671
5,4,1,3,2,0,9731,1550000,2,1,2004,3467,319,0,17,23846804
